id,name,now_cost,position,team,influence_rank_type,now_cost_rank,threat_rank_type,bps,points_per_game_rank,expected_assists_per_90,points_per_game_rank_type,total_points,transfers_in_event,transfers_out_event,form_rank,in_dreamteam,news,goals_conceded_per_90,expected_assists,corners_and_indirect_freekicks_order,expected_goals_conceded,cost_change_event_fall,form,minutes,chance_of_playing_next_round,expected_goals_conceded_per_90,starts,ep_next,web_name,selected_rank,points_per_game,assists,expected_goals_per_90,ict_index_rank,creativity_rank,chance_of_playing_this_round,status,penalties_saved,selected_by_percent,saves_per_90,saves,threat_rank,news_added,dreamteam_count,cost_change_event,transfers_in,ict_index_rank_type,influence_rank,direct_freekicks_order,event_points,goals_conceded,value_form,starts_per_90,expected_goal_involvements_per_90,selected_rank_type,cost_change_start,ep_this,penalties_missed,threat,red_cards,own_goals,clean_sheets_per_90,expected_goals,yellow_cards,creativity,ict_index,influence,expected_goal_involvements,penalties_order,clean_sheets,bonus,now_cost_rank_type,goals_scored,transfers_out,value_season,creativity_rank_type,cost_change_start_fall,form_rank_type
526,Jarrod Bowen,77,MID,West Ham,2,17,2,227,7,0.11,5,75,241246,14437,13,True,,1.83,1.34,2.0,22.36,-1,6.2,1080,100.0,1.86,12,6.7,Bowen,12,6.2,1,0.42,8,86,100.0,a,0,29.8,0.0,0,4,2023-09-22T11:30:08.260489Z,1,1,3483296,6,5,,8,22,0.8,1.0,0.53,5,7,6.2,0,478.0,0,0,0.08,5.07,1,134.0,99.3,381.0,6.41,4.0,1,8,10,8,1020745,9.7,61,-7,9
527,Maxwel Cornet,52,MID,West Ham,205,154,311,2,428,0.0,211,1,35,81,708,False,,0.0,0.00,,0.00,1,0.0,1,,0.0,0,0.5,Cornet,499,1.0,0,0.0,455,722,,a,0,0.1,0.0,0,719,,0,-1,1314,215,439,,0,0,0.0,0.0,0.0,172,-3,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.2,2.2,0.00,,0,0,96,0,5322,0.2,312,3,304
528,Vladimír Coufal,46,DEF,West Ham,7,338,98,213,133,0.09,44,36,16715,8174,281,False,,1.84,1.04,,22.40,0,0.8,1076,100.0,1.87,12,1.3,Coufal,96,3.0,4,0.0,67,48,100.0,a,0,3.5,0.0,0,300,2023-10-25T22:30:08.995754Z,1,0,463165,10,30,,0,22,0.2,1.0,0.09,39,1,0.8,0,18.0,0,0,0.08,0.02,1,200.2,50.4,286.2,1.06,,1,4,43,0,150980,7.8,9,-1,93
529,Conor Coventry,44,MID,West Ham,223,519,218,0,602,0.0,232,0,120,162,546,False,,0.0,0.00,,0.00,0,0.0,0,,0.0,0,0.5,Coventry,422,0.0,0,0.0,596,580,,a,0,0.1,0.0,0,566,,0,0,5644,228,589,,0,0,0.0,0.0,0.0,136,-1,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,289,0,7862,0.0,224,1,198
530,Aaron Cresswell,42,DEF,West Ham,148,607,208,21,299,0.16,98,3,578,418,275,False,,1.06,0.15,3.0,0.79,0,0.8,85,100.0,0.84,1,1.3,Cresswell,271,1.5,0,0.0,402,323,100.0,a,0,0.3,0.0,0,523,2023-09-22T11:30:08.275824Z,0,0,12547,142,402,,1,1,0.2,1.06,0.16,106,-3,0.8,0,0.0,0,0,0.0,0.00,0,20.8,3.1,10.0,0.15,,0,0,157,0,73065,0.7,113,3,89
531,Flynn Downes,50,MID,West Ham,309,197,307,0,719,0.0,309,0,0,9,699,False,Season-long loan to Southampton,0.0,0.00,,0.00,0,0.0,0,0.0,0.0,0,0.0,Downes,659,0.0,0,0.0,719,717,0.0,u,0,0.0,0.0,0,714,2023-08-23T08:39:25.105821Z,0,0,126,309,719,,0,0,0.0,0.0,0.0,265,0,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,122,0,1941,0.0,308,0,298
532,Emerson Palmieri dos Santos,45,DEF,West Ham,43,362,49,144,252,0.12,83,21,2361,884,574,False,,1.91,1.31,,21.58,0,0.0,990,100.0,1.96,11,0.5,Emerson,207,1.9,2,0.03,118,84,100.0,a,0,0.7,0.0,0,203,2023-10-22T21:00:08.515376Z,0,0,88887,30,125,,1,21,0.0,1.0,0.15,79,0,0.0,0,47.0,0,0,0.09,0.28,6,137.8,35.7,171.8,1.59,,1,2,59,0,71372,4.7,18,0,218
533,Lukasz Fabianski,42,GKP,West Ham,76,606,54,0,571,0.0,76,0,576,1400,497,False,,0.0,0.00,,0.00,0,0.0,0,100.0,0.0,0,0.5,Fabianski,152,0.0,0,0.0,565,544,100.0,a,0,1.4,0.0,0,522,2023-10-27T13:30:09.169653Z,0,0,24701,76,559,,0,0,0.0,0.0,0.0,20,-3,0.0,0,0.0,0,0,0.0,0.00,0,0.0,0.0,0.0,0.00,,0,0,33,0,182890,0.0,61,3,75
534,Pablo Fornals Malla,47,MID,West Ham,161,323,107,34,357,0.08,169,9,53,118,318,False,,2.14,0.14,,3.31,0,0.5,168,,1.77,1,1.0,P.Fornals,493,1.1,0,0.16,308,261,,a,0,0.1,0.0,0,187,,0,0,2796,138,363,,0,4,0.1,0.54,0.24,169,-3,0.5,0,58.0,0,0,0.0,0.29,0,39.2,12.4,26.0,0.43,,0,0,211,0,8198,1.9,143,3,150
535,Danny Ings,56,FWD,West Ham,46,88,51,17,442,0.01,56,7,1011,1394,335,False,,5.29,0.01,,2.67,0,0.5,68,,3.53,0,1.0,Ings,204,0.9,0,0.16,412,414,,a,0,0.7,0.0,0,323,,0,0,26314,50,398,,0,4,0.1,0.0,0.17,31,-4,0.5,0,15.0,0,0,0.0,0.12,1,0.7,2.7,11.4,0.13,,0,0,28,0,147048,1.2,51,4,42
